092年05月05日 至 110年03月17日 除權除息計算結果表,,,,,,,,,,,,,,
資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
92年05月05日,1439,中和,7.2,6.9,0.3,息,7.35,6.45,6.9,6.9,除權息資料,109年第3季,24.96,-0.05
92年05月06日,1717,長興,17.4,16,1.4,息,17.1,14.9,16,16,除權息資料,109年第3季,17.22,1.42
92年05月20日,1520,復盛,43.8,40.8,3,息,43.6,38,40.8,40.8,除權息資料,,,
92年05月20日,9915,億豐,75,58.53,16.47,權息,62.5,54.5,58.5,58.53,除權息資料,,,
92年05月22日,1708,東鹼,5.2,5.05,0.15,息,5.4,4.7,5.05,5.05,除權息資料,109年第3季,25.27,0.44
92年05月22日,1907,永豐餘,10.6,10.4,0.2,息,11.1,9.7,10.4,10.4,除權息資料,109年第3季,25.14,2.48
92年05月22日,9102,東亞科,27.2,21.7,5.5,權息,23.2,20.2,21.7,21.7,除權息資料,93年第4季,0,0.39
92年05月29日,2808,北商銀,15.5,15.3,0.2,息,16.3,14.25,15.3,15.3,除權息資料,,,
92年06月02日,1451,年興,37,34.8,2.2,息,37.2,32.4,34.8,34.8,除權息資料,109年第3季,36.2,-2.15
92年06月02日,1520,復盛,45,41.99,3.01,權,44.9,39.1,42,41.99,除權息資料,,,
92年06月02日,2031,新光鋼,28.5,27.5,1,息,29.4,25.6,27.5,27.5,除權息資料,109年第4季,24.89,0
92年06月02日,3015,全漢,57,48.85,8.15,權息,52,45.5,48.9,48.85,除權息資料,109年第3季,55.51,2.86
92年06月05日,3009,奇美電,24.9,23.75,1.15,權,26.6,22.1,24.9,24.9,除權息資料,,,
92年06月06日,1612,宏泰,10.2,9.48,0.71302,息,10.1,8.85,9.5,9.48,除權息資料,109年第3季,15.81,1.14
92年06月09日,2345,智邦,30.5,26.46,4.0461,權息,28.3,24.7,26.5,26.46,除權息資料,109年第3季,23.35,6.62
92年06月10日,1731,美吾華,15.7,14.7,1,息,15.7,13.7,14.7,14.7,除權息資料,109年第4季,14.11,1.29
92年06月10日,2430,燦坤,44.4,42.4,2,息,45.3,39.5,42.4,42.4,除權息資料,109年第4季,28.76,1.85
92年06月10日,2833,台壽保,33.4,31.4,2,息,33.5,29.3,31.4,31.4,除權息資料,109年第3季,25.51,2.85
92年06月10日,3049,和鑫,20,15.91,4.09,權,17,14.8,15.9,15.91,除權息資料,109年第3季,11.45,0.17
92年06月10日,9926,新海,12.25,11.65,0.6,息,12.45,10.85,11.65,11.65,除權息資料,109年第3季,17.36,2.02
92年06月12日,1301,台塑,47,45.8,1.2,息,49,42.6,45.8,45.8,除權息資料,109年第3季,45.97,1.47
92年06月12日,1423,利華,7.9,7.4,0.5,息,7.9,6.9,7.4,7.4,除權息資料,109年第3季,16.25,-0.83
92年06月13日,1905,華紙,14.2,14.08,0.12,息,15,13.1,14.1,14.08,除權息資料,109年第3季,13.43,-0.2
92年06月13日,2906,高林,10.15,9.32,0.83,息,9.95,8.7,9.3,9.32,除權息資料,109年第3季,13.53,-0.06
